"","Street_name","Planning_Area","number_of_stations","average_dist"
"100","PENANG ROAD","MUSEUM",1,286.079493682814
"101","PETIR ROAD","BUKIT PANJANG",1,147.522674980255
"102","PUNGGOL CENTRAL","PUNGGOL",3,403.586110617636
"103","QUEENSWAY","QUEENSTOWN",NA,NA
"104","RACE COURSE ROAD","KALLANG",NA,NA
"105","RAFFLES AVENUE","DOWNTOWN CORE",1,429.543059156394
"106","RAFFLES BOULEVARD","DOWNTOWN CORE",1,319.385660709557
"107","RAFFLES LINK","DOWNTOWN CORE",2,291.046728525244
"108","RAFFLES PLACE","DOWNTOWN CORE",2,198.568457830525
"109","RAFFLES QUAY","DOWNTOWN CORE",4,351.319652402952
"110","RANGOON ROAD","KALLANG",1,353.385899796632
"111","RIVER VALLEY ROAD","TANGLIN",1,486.394618860704
"112","RIVERVALE CRESCENT","SENGKANG",2,320.779757587247
"113","ROBERTSON QUAY","SINGAPORE RIVER",NA,NA
"114","ROBINSON ROAD","DOWNTOWN CORE",3,307.426895501785
"115","ROCHOR CANAL ROAD","ROCHOR",2,168.468855220151
"116","ROCHOR ROAD","ROCHOR",3,374.126524045694
"117","SAM LEONG ROAD","KALLANG",1,465.698465403098
"118","SCOTTS ROAD","NEWTON",NA,NA
"119","SELEGIE ROAD","ROCHOR",2,359.939010258689
"120","SEMBAWANG DRIVE","SEMBAWANG",NA,NA
"121","SEMBAWANG ROAD","MANDAI",NA,NA
"122","SENGKANG SQUARE","SENGKANG",1,186.837001336104
"123","SENGKANG WEST AVENUE","SENGKANG",2,249.0833279807
"124","SERANGOON CENTRAL","SERANGOON",1,405.71646512935
"125","SERANGOON ROAD","KALLANG",NA,NA
"126","SHENTON WAY","DOWNTOWN CORE",2,289.14386688174
"127","SIMS AVENUE","GEYLANG",1,175.030014363129
"128","SIMS DRIVE","GEYLANG",1,460.653569856455
"129","SIN MING ROAD","BISHAN",NA,NA
"130","SINARAN DRIVE","NOVENA",1,177.0891278582
"131","SOMERSET ROAD","ORCHARD",1,80.8853820764134
"132","SOUTH BRIDGE ROAD","OUTRAM",3,317.613936787947
