"...1","Street_name","longitude","latitude","Planning_Area","Number_of_Malls","Number_of_Schools","total_pop"
76,"COMPASSVALE BOW",103.893536162573,1.38148140445877,"SENGKANG",4,12,265550
77,"CUSCADEN ROAD",103.826332976548,1.30505061371051,"ORCHARD",19,1,870
78,"JALAN MASJID",103.912406876927,1.31983134095207,"BEDOK",3,15,277660
79,"LORONG LIPUT",103.795050712557,1.31058571124714,"QUEENSTOWN",4,4,102040
80,"PASIR RIS CENTRAL",103.957565573283,1.37031157066559,"PASIR RIS",4,7,145480
81,"RANGOON ROAD",103.853717233509,1.31507104891283,"KALLANG",4,2,101190
82,"RIVER VALLEY ROAD",103.829511879865,1.29512502104095,"TANGLIN",1,1,24540
83,"STAMFORD ROAD",103.850124423744,1.29409401479545,"MUSEUM",1,1,530
84,"TAI SENG STREET",103.889444065787,1.33620537032654,"HOUGANG",7,11,228780
85,"TAMPINES CENTRAL 1",103.945912182468,1.35590219010974,"TAMPINES",7,14,284950
86,"TAMPINES STREET 32",103.957994267186,1.35377894152139,"TAMPINES",7,14,284950
87,"TESSENSOHN ROAD",103.856061358444,1.31518001439054,"KALLANG",4,2,101190
88,"VICTORIA STREET",103.85578146219,1.30056298965688,"ROCHOR",4,1,13040
89,"YIO CHU KANG ROAD",103.873958983158,1.36102014243375,"HOUGANG",7,11,228780
90,"BEDOK NORTH STREET 1",103.931653673284,1.32588491763491,"BEDOK",3,15,277660
91,"HOUGANG STREET 91",103.882310053371,1.37708638977268,"HOUGANG",7,11,228780
92,"JALAN LEGUNDI",103.823222005278,1.44130521573477,"SEMBAWANG",3,5,110670
93,"LAVENDER STREET",103.861165196035,1.31337862160315,"KALLANG",4,2,101190
94,"LORONG 22 GEYLANG",103.882147632096,1.31178473534539,"GEYLANG",3,7,116820
95,"MARINE PARADE ROAD",103.918109149044,1.30747559245641,"BEDOK",3,15,277660
96,"MERCHANT ROAD",103.844167955261,1.28890461113134,"SINGAPORE RIVER",1,1,4200
97,"PENANG ROAD",103.843724446098,1.29879843384622,"MUSEUM",1,1,530
98,"TIONG BAHRU ROAD",103.834042986942,1.28488132800849,"BUKIT MERAH",2,7,149390
99,"UPPER SERANGOON ROAD",103.888034027862,1.36328683075471,"HOUGANG",7,11,228780
100,"CLAYMORE DRIVE",103.829514853918,1.30718324095372,"ORCHARD",19,1,870
101,"CLEMENCEAU AVENUE",103.843728126138,1.29775993822781,"MUSEUM",1,1,530
102,"CLEMENTI AVENUE 3",103.765623220882,1.31268636837411,"CLEMENTI",4,4,102960
103,"EASTWOOD ROAD",103.95592400669,1.32153103027228,"BEDOK",3,15,277660
104,"ENG HOON STREET",103.834328570275,1.28370255157364,"BUKIT MERAH",2,7,149390
105,"ENGGOR STREET",103.844183737234,1.27421368099874,"DOWNTOWN CORE",17,1,4170
106,"HANDY ROAD",103.847468258282,1.2984997727958,"MUSEUM",1,1,530
107,"KELANTAN LANE",103.85677129681,1.30656278350182,"ROCHOR",4,1,13040
108,"MAJU AVENUE",103.865626654057,1.36503776570131,"SERANGOON",3,6,118250
109,"MOHAMED SULTAN ROAD",103.840829416295,1.29221386678277,"RIVER VALLEY",1,1,11970
110,"NORTH BUONA VISTA DRIVE",103.792154878567,1.3052419932243,"QUEENSTOWN",4,4,102040
111,"RACE COURSE ROAD",103.857199382017,1.3160124626015,"KALLANG",4,2,101190
112,"TANGLIN ROAD",103.816404826415,1.29474150189408,"TANGLIN",1,1,24540
113,"WOODLANDS AVENUE 1",103.784382967577,1.43093861934731,"WOODLANDS",8,14,255510
114,"YISHUN CENTRAL 1",103.837286125064,1.42852396749923,"YISHUN",3,11,230320
