"...1","Street_name","longitude","latitude","Planning_Area","Number_of_Malls","Number_of_Schools","total_pop"
135,"TAI SENG STREET",103.889444065787,1.33620537032654,"HOUGANG",7,11,228780
136,"TAI THONG CRESCENT",103.869623660041,1.32901649945606,"TOA PAYOH",2,8,140030
137,"TAMPINES CENTRAL 1",103.945912182468,1.35590219010974,"TAMPINES",7,14,284950
138,"TAMPINES CENTRAL 5",103.944368489803,1.35288367589977,"TAMPINES",7,14,284950
139,"TAMPINES STREET 32",103.957994267186,1.35377894152139,"TAMPINES",7,14,284950
140,"TAN QUEE LAN STREET",103.856723592646,1.29847554697599,"DOWNTOWN CORE",17,1,4170
141,"TANGLIN ROAD",103.816404826415,1.29474150189408,"TANGLIN",1,1,24540
142,"TANJONG KATONG ROAD",103.89449404833,1.31124843225194,"GEYLANG",3,7,116820
143,"TELOK AYER STREET",103.847820429405,1.28108464345095,"OUTRAM",4,1,16740
144,"TELOK KURAU ROAD",103.910868182844,1.3122772142241,"BEDOK",3,14,277660
145,"TEMASEK BOULEVARD",103.85840260747,1.2940021890069,"DOWNTOWN CORE",17,1,4170
146,"TESSENSOHN ROAD",103.856061358444,1.31518001439054,"KALLANG",4,2,101190
147,"THOMSON ROAD",103.845032960491,1.31568116603931,"NOVENA",4,6,52150
148,"TIONG BAHRU ROAD",103.834042986942,1.28488132800849,"BUKIT MERAH",2,7,149390
149,"TRAS STREET",103.843832592603,1.27487780516487,"DOWNTOWN CORE",17,1,4170
150,"UNITY STREET",103.842017809894,1.29208342667403,"SINGAPORE RIVER",1,1,4200
151,"UPPER BUKIT TIMAH ROAD",103.762519694245,1.3769515067376,"BUKIT PANJANG",5,7,138730
152,"UPPER CIRCULAR ROAD",103.847720654374,1.28927589033091,"SINGAPORE RIVER",1,1,4200
153,"UPPER CROSS STREET",103.842810792046,1.28586157732211,"OUTRAM",4,1,16740
154,"UPPER SERANGOON ROAD",103.888034027862,1.36328683075471,"HOUGANG",7,11,228780
155,"UPPER THOMSON ROAD",103.828370680201,1.35796799014899,"BISHAN",4,5,88210
156,"VICTORIA STREET",103.85578146219,1.30056298965688,"ROCHOR",4,1,13040
157,"WEST COAST DRIVE",103.759978928244,1.31227843644678,"CLEMENTI",4,4,102960
158,"WEST COAST ROAD",103.7614146752,1.30868319087089,"CLEMENTI",4,4,102960
159,"WILKIE ROAD",103.847054206873,1.30412706743473,"NEWTON",1,1,9910
160,"WOODLANDS AVENUE 1",103.784382967577,1.43093861934731,"WOODLANDS",8,14,255510
161,"WOODLANDS ROAD",103.763963063521,1.39031417462577,"BUKIT PANJANG",5,7,138730
162,"WOODLANDS SQUARE",103.787306946729,1.4373716680265,"WOODLANDS",8,14,255510
163,"YIO CHU KANG ROAD",103.873958983158,1.36102014243375,"HOUGANG",7,11,228780
164,"YISHUN AVENUE 2",103.833187928653,1.416244081375,"YISHUN",3,11,230320
165,"YISHUN AVENUE 9",103.83984841958,1.43162370844369,"YISHUN",3,11,230320
166,"YISHUN CENTRAL 1",103.837286125064,1.42852396749923,"YISHUN",3,11,230320
167,"YISHUN RING ROAD",103.828892847707,1.43136957726436,"YISHUN",3,11,230320
