"","Street_name","Planning_Area","number_of_stations","dist_to_nearest_mrt","inversed_dist_to_nearest_mrt","station_name","StationCode"
"58","JELEBU ROAD","BUKIT PANJANG",4,202.425199847614,0.0049400963948797,"Bukit Panjang","BP6"
"59","JOO CHIAT ROAD","GEYLANG",0,668.616836355196,0.00149562491643384,"Eunos","EW7"
"60","JOO KOON CIRCLE","PIONEER",0,715.990856858612,0.00139666587976761,"Joo Koon","EW29"
"61","JURONG EAST STREET 21","JURONG EAST",2,480.837833484223,0.00207970323955969,"Jurong East","EW24"
"62","JURONG GATEWAY ROAD","JURONG EAST",2,284.607456308615,0.00351361138942069,"Jurong East","EW24"
"63","JURONG WEST CENTRAL 2","JURONG WEST",1,221.191313509108,0.00452097319797698,"Boon Lay","EW27"
"64","JURONG WEST CENTRAL 3","JURONG WEST",1,220.684148950736,0.00453136305781178,"Boon Lay","EW27"
"65","KALLANG AVENUE","KALLANG",2,355.916353184794,0.00280964892748492,"Bendemeer","DT23"
"66","KELANTAN LANE","ROCHOR",1,225.739827868043,0.00442987845540732,"Jalan Besar","DT22"
"67","KEPPEL ROAD","BUKIT MERAH",0,848.413589996634,0.00117867041710632,"Outram Park","NE3"
"68","KITCHENER ROAD","KALLANG",0,501.971866656666,0.0019921435172461,"Farrer Park","NE8"
"69","KOEK ROAD","ORCHARD",1,229.080306341472,0.00436528139834675,"Somerset","NS23"
"70","LAVENDER STREET","KALLANG",1,204.341447489823,0.00489376977742022,"Bendemeer","DT23"
"71","LORONG 22 GEYLANG","GEYLANG",0,524.238483907455,0.00190752878832248,"Aljunied","EW9"
"72","LORONG 4 TOA PAYOH","TOA PAYOH",0,505.137971944123,0.00197965715416583,"Toa Payoh","NS19"
"73","LORONG KILAT","BUKIT TIMAH",1,270.484189908301,0.00369707375628504,"Beauty World","DT5"
"74","LORONG LIPUT","QUEENSTOWN",1,237.580635813689,0.00420909724639428,"Holland Village","CC21"
"75","MACPHERSON ROAD","GEYLANG",1,452.884195512269,0.00220806998766843,"Potong Pasir","NE10"
"76","MAJU AVENUE","SERANGOON",0,1503.51453605308,0.00066510830192911,"Lorong Chuan","CC14"
"77","MARINA BOULEVARD","DOWNTOWN CORE",2,437.318371209488,0.00228666359758523,"Bayfront","CE1"
"78","MARINA VIEW","DOWNTOWN CORE",4,69.2916663593995,0.0144317499136655,"Downtown","DT17"
"79","MARINE PARADE ROAD","BEDOK",1,346.110523056149,0.0028892504948131,"Marine Terrace","TE27"
"80","MARITIME SQUARE","BUKIT MERAH",2,206.361781521152,0.00484585853363309,"HarbourFront","CC29"
"81","MARKET STREET","BEDOK",1,497.253858044363,0.00201104523136909,"Bedok","EW5"
"82","MARNE ROAD","KALLANG",1,414.145685365912,0.00241460924340299,"Farrer Park","NE8"
"83","MERCHANT ROAD","SINGAPORE RIVER",2,271.880255785652,0.00367808981608577,"Clarke Quay","NE5"
"84","MIDDLE ROAD","ROCHOR",4,271.003498706425,0.00368998926129469,"Bencoolen","DT21"
"85","MOHAMED SULTAN ROAD","RIVER VALLEY",1,390.876583843836,0.00255835228134188,"Fort Canning","DT20"
"86","MOUNTBATTEN ROAD","KALLANG",1,440.44512100617,0.00227043041756385,"Mountbatten","CC7"
"87","NEW BRIDGE ROAD","OUTRAM",3,161.223440958232,0.00620257199608505,"Chinatown","NE4"
"88","NEW UPPER CHANGI ROAD","BEDOK",0,623.991748953205,0.00160258529327924,"Tanah Merah","EW4"
"89","NORTH BRIDGE ROAD","ROCHOR",0,512.365452505096,0.00195173190368462,"Jalan Besar","DT22"
"90","NORTH BUONA VISTA DRIVE","QUEENSTOWN",2,223.40012368104,0.00447627326038436,"Buona Vista","CC22"
"91","NORTHPOINT DRIVE","YISHUN",1,290.919569085666,0.00343737619006831,"Yishun","NS13"
"92","OCEAN WAY","SOUTHERN ISLANDS",0,2976.80993116504,0.000335930080564004,"HarbourFront","CC29"
"93","ORCHARD ROAD","ORCHARD",1,424.870502105199,0.0023536583383527,"Somerset","NS23"
"94","ORCHARD TURN","ORCHARD",2,233.800770539517,0.00427714586950423,"Orchard","NS22"
"95","OUTRAM ROAD","OUTRAM",3,33.0557267554954,0.0302519441607423,"Outram Park","EW16"
"96","PASIR PANJANG ROAD","QUEENSTOWN",0,505.120062399187,0.00197972734492125,"Haw Par Villa","CC25"
"97","PASIR RIS CENTRAL","PASIR RIS",0,970.453502427493,0.00103044607237606,"Pasir Ris","EW1"
"98","PASIR RIS CLOSE","PASIR RIS",0,839.643528364449,0.00119098160852607,"Pasir Ris","EW1"
"99","PAYA LEBAR ROAD","TOA PAYOH",1,17.4639551486933,0.0572607975390283,"Tai Seng","CC11"
"100","PENANG ROAD","MUSEUM",3,220.725507452228,0.00453051399243665,"Dhoby Ghaut","NE6"
"101","PETIR ROAD","BUKIT PANJANG",1,147.522674980255,0.006778618948808,"Pending","BP8"
"102","PUNGGOL CENTRAL","PUNGGOL",3,372.507579864184,0.00268450913230973,"Cove","PE1"
"103","QUEENSWAY","QUEENSTOWN",0,556.110756829842,0.00179820294378154,"Commonwealth","EW20"
"104","RACE COURSE ROAD","KALLANG",0,611.055791874983,0.00163651177731508,"Boon Keng","NE9"
"105","RAFFLES AVENUE","DOWNTOWN CORE",2,429.543059156394,0.00232805531059904,"Bayfront","CE1"
