"","Street_name","Planning_Area","number_of_bus_stops","dist_to_nearest_bus_stop","inversed_dist_to_nearest_bus_stop","BusStopCode"
"59","JOO CHIAT ROAD","GEYLANG",2,91.6551648221591,0.010910459895417,"82049"
"60","JOO KOON CIRCLE","PIONEER",0,260.668848285755,0.00383628502821236,"24499"
"61","JURONG EAST STREET 21","JURONG EAST",3,134.92690110485,0.00741142049370061,"28069"
"62","JURONG GATEWAY ROAD","JURONG EAST",8,104.845628065622,0.0095378321294819,"28211"
"63","JURONG WEST CENTRAL 2","JURONG WEST",1,221.726641747272,0.00451005793494053,"22009"
"64","JURONG WEST CENTRAL 3","JURONG WEST",3,163.858471492659,0.00610282758584624,"22009"
"65","KALLANG AVENUE","KALLANG",2,179.760544480662,0.00556295600288182,"07379"
"66","KELANTAN LANE","ROCHOR",1,67.7917707722182,0.0147510529465298,"07419"
"67","KEPPEL ROAD","BUKIT MERAH",2,119.713964200288,0.00835324439116347,"14061"
"68","KITCHENER ROAD","KALLANG",3,5.65237346088417,0.176916830941948,"07231"
"69","KOEK ROAD","ORCHARD",3,68.4773676389984,0.014603365089497,"08137"
"70","LAVENDER STREET","KALLANG",5,60.4993126405405,0.0165291134122721,"07359"
"71","LORONG 22 GEYLANG","GEYLANG",4,156.244878456823,0.00640020978528484,"81169"
"72","LORONG 4 TOA PAYOH","TOA PAYOH",5,40.8322385109374,0.0244904525558191,"52269"
"73","LORONG KILAT","BUKIT TIMAH",4,78.2143882915138,0.0127853713599714,"42169"
"74","LORONG LIPUT","QUEENSTOWN",4,121.093650551725,0.00825807129807235,"11419"
"75","MACPHERSON ROAD","GEYLANG",6,123.571872965914,0.00809245644658829,"70359"
"76","MAJU AVENUE","SERANGOON",3,104.221158004799,0.00959498070395606,"66261"
"77","MARINA BOULEVARD","DOWNTOWN CORE",1,49.9454553395577,0.0200218416911294,"03501"
"78","MARINA VIEW","DOWNTOWN CORE",3,62.7802739056443,0.0159285701987053,"03529"
"79","MARINE PARADE ROAD","BEDOK",4,60.3447703315868,0.0165714442942632,"92089"
"80","MARITIME SQUARE","BUKIT MERAH",2,226.61378731452,0.00441279417219257,"14129"
"81","MARKET STREET","BEDOK",2,118.611869778507,0.00843085942298503,"84351"
"82","MARNE ROAD","KALLANG",2,97.0734688561766,0.0103014759005016,"07211"
"83","MERCHANT ROAD","SINGAPORE RIVER",1,157.517609019705,0.00634849656634201,"06189"
"84","MIDDLE ROAD","ROCHOR",6,61.5680070851389,0.0162422018730792,"07571"
"85","MOHAMED SULTAN ROAD","RIVER VALLEY",1,245.762285923144,0.00406897256934177,"04321"
"86","MOUNTBATTEN ROAD","KALLANG",2,58.4561360513361,0.0171068439953301,"91091"
"87","NEW BRIDGE ROAD","OUTRAM",8,38.0262149385378,0.0262976475995918,"05022"
"88","NEW UPPER CHANGI ROAD","BEDOK",3,153.780507944661,0.00650277472330796,"84069"
"89","NORTH BRIDGE ROAD","ROCHOR",7,39.3734274755763,0.0253978397136066,"01229"
"90","NORTH BUONA VISTA DRIVE","QUEENSTOWN",4,188.958477687565,0.0052921679526518,"11369"
"91","NORTHPOINT DRIVE","YISHUN",7,123.199647694742,0.00811690632815567,"59009"
"92","OCEAN WAY","SOUTHERN ISLANDS",0,1903.64431874454,0.000525308215486127,"14519"
"93","ORCHARD ROAD","ORCHARD",1,105.530006959418,0.0094759777698542,"09037"
"94","ORCHARD TURN","ORCHARD",5,77.5027591930873,0.0129027664358199,"09011"
"95","OUTRAM ROAD","OUTRAM",5,59.6218308061792,0.0167723799567785,"06029"
"96","PASIR PANJANG ROAD","QUEENSTOWN",8,72.9587759077958,0.0137063703105955,"15221"
