,Street_name,Planning_area,Time_taken_drive
3399,JURONG EAST STREET 21,Tanglin,1297
3400,JURONG GATEWAY ROAD,Tanglin,1366
3401,JURONG WEST CENTRAL 2,Tanglin,1655
3402,JURONG WEST CENTRAL 3,Tanglin,1685
3403,KALLANG AVENUE,Tanglin,776
3404,KELANTAN LANE,Tanglin,715
3405,KEPPEL ROAD,Tanglin,686
3406,KITCHENER ROAD,Tanglin,705
3407,KOEK ROAD,Tanglin,416
3408,LAVENDER STREET,Tanglin,684
3409,LORONG 22 GEYLANG,Tanglin,1007
3410,LORONG 4 TOA PAYOH,Tanglin,830
3411,LORONG KILAT,Tanglin,960
3412,LORONG LIPUT,Tanglin,460
3413,MACPHERSON ROAD,Tanglin,839
3414,MAJU AVENUE,Tanglin,1216
3415,MARINA BOULEVARD,Tanglin,737
3416,MARINA VIEW,Tanglin,712
3417,MARINE PARADE ROAD,Tanglin,1291
3418,MARITIME SQUARE,Tanglin,826
3419,MARKET STREET,Tanglin,1571
3420,MARNE ROAD,Tanglin,769
3421,MERCHANT ROAD,Tanglin,612
3422,MIDDLE ROAD,Tanglin,530
3423,MOHAMED SULTAN ROAD,Tanglin,490
3424,MOUNTBATTEN ROAD,Tanglin,1188
3425,NEW BRIDGE ROAD,Tanglin,571
3426,NEW UPPER CHANGI ROAD,Tanglin,1735
3427,NORTH BRIDGE ROAD,Tanglin,713
3428,NORTH BUONA VISTA DRIVE,Tanglin,619
3429,NORTHPOINT DRIVE,Tanglin,1929
3430,OCEAN WAY,Tanglin,1370
3431,ORCHARD ROAD,Tanglin,330
3432,ORCHARD TURN,Tanglin,364
3433,OUTRAM ROAD,Tanglin,508
3434,PASIR PANJANG ROAD,Tanglin,936
3435,PASIR RIS CENTRAL,Tanglin,1940
3436,PASIR RIS CLOSE,Tanglin,1992
3437,PAYA LEBAR ROAD,Tanglin,1097
3438,PENANG ROAD,Tanglin,442
3439,PETIR ROAD,Tanglin,1116
3440,PUNGGOL CENTRAL,Tanglin,1942
3441,QUEENSWAY,Tanglin,679
3442,RACE COURSE ROAD,Tanglin,739
3443,RAFFLES AVENUE,Tanglin,737
3444,RAFFLES BOULEVARD,Tanglin,620
3445,RAFFLES LINK,Tanglin,756
3446,RAFFLES PLACE,Tanglin,647
3447,RAFFLES QUAY,Tanglin,762
3448,RANGOON ROAD,Tanglin,675
3449,RIVER VALLEY ROAD,Tanglin,323
3450,RIVERVALE CRESCENT,Tanglin,1793
3451,ROBERTSON QUAY,Tanglin,520
3452,ROBINSON ROAD,Tanglin,721
3453,ROCHOR CANAL ROAD,Tanglin,574
3454,ROCHOR ROAD,Tanglin,619
3455,SAM LEONG ROAD,Tanglin,745
3456,SCOTTS ROAD,Tanglin,307
3457,SELEGIE ROAD,Tanglin,513
3458,SEMBAWANG DRIVE,Tanglin,2171
3459,SEMBAWANG ROAD,Tanglin,1913
3460,SENGKANG SQUARE,Tanglin,1601
3461,SENGKANG WEST AVENUE,Tanglin,1378
3462,SERANGOON CENTRAL,Tanglin,1095
3463,SERANGOON ROAD,Tanglin,864
3464,SHENTON WAY,Tanglin,723
3465,SIMS AVENUE,Tanglin,1073
3466,SIMS DRIVE,Tanglin,1006
3467,SIN MING ROAD,Tanglin,909
3468,SINARAN DRIVE,Tanglin,576
3469,SOMERSET ROAD,Tanglin,399
3470,SOUTH BRIDGE ROAD,Tanglin,570
