Reference Quarter,Street,25th Percentile Retail Rent ($ PSM per month),Median Retail Rent ($ PSM per month),75th Percentile Retail Rent ($ PSM per month)
2024Q1,IRRAWADDY ROAD,167.32,188.95,214.3
2024Q1,JALAN ANAK BUKIT,96.43,111.28,126.73
2024Q1,JALAN BESAR,54.02,63.14,74.86
2024Q1,JALAN JURONG KECHIL,90.83,97.12,107.67
2024Q1,JALAN SULTAN,46.46,67.13,118.9
2024Q1,JELEBU ROAD,204.7,232.05,321.02
2024Q1,JOO CHIAT ROAD,72.64,87.5,90.91
2024Q1,JOO KOON CIRCLE,-,116.25,-
2024Q1,JURONG EAST STREET 21,149.76,170.37,206.46
2024Q1,JURONG GATEWAY ROAD,157.44,180.84,219.76
2024Q1,JURONG WEST CENTRAL 2,214.07,281.14,373.37
2024Q1,JURONG WEST CENTRAL 3,238.61,280.17,380.31
2024Q1,KALLANG AVENUE,73.27,107,114.21
2024Q1,KEPPEL ROAD,-,-,-
2024Q1,KILLINEY ROAD,-,-,-
2024Q1,KITCHENER ROAD,114.96,193.23,281.25
2024Q1,KOEK ROAD,81.98,102.26,110.46
2024Q1,LAVENDER STREET,-,100,-
2024Q1,LORONG 4 TOA PAYOH,58.6,61.36,75.2
2024Q1,LORONG KILAT,56.86,66.96,74.16
2024Q1,MACPHERSON ROAD,51.7,72.13,110.71
2024Q1,MARINA BOULEVARD,137.35,161.57,190.45
2024Q1,MARINA VIEW,146.11,193.39,243.2
2024Q1,MARINE PARADE CENTRAL,-,-,-
2024Q1,MARINE PARADE ROAD,218.96,274.31,370.14
2024Q1,MARITIME SQUARE,98.74,140.11,159.31
2024Q1,MARKET STREET,-,-,-
2024Q1,MARNE ROAD,98.18,104.22,109.52
2024Q1,MARTIN ROAD,-,-,-
2024Q1,MAYO STREET,-,-,-
2024Q1,MIDDLE ROAD,77.47,102.23,148.15
2024Q1,MOUNTBATTEN ROAD,57.89,76.82,96.47
2024Q1,NEW BRIDGE ROAD,93.75,196.34,246.84
2024Q1,NEW UPPER CHANGI ROAD,246.57,300.67,365.17
2024Q1,NORTH BRIDGE ROAD,71.43,134.62,225.44
2024Q1,NORTH BUONA VISTA DRIVE,-,-,-
2024Q1,NORTHPOINT DRIVE,228.32,300.11,475.91
2024Q1,OCEAN WAY,93.91,105.85,118.29
2024Q1,ORCHARD ROAD,90.53,128,231.34
2024Q1,ORCHARD TURN,350.63,407.96,535.62
2024Q1,OUTRAM ROAD,67.71,69.72,76.22
2024Q1,OXLEY RISE,-,-,-
2024Q1,PASIR PANJANG ROAD,98.72,116.92,153.85
2024Q1,PASIR RIS CLOSE,95.88,113.78,165.73
2024Q1,PAYA LEBAR ROAD,184.38,226.54,314.27
2024Q1,PECK SEAH STREET,-,-,-
2024Q1,PENANG ROAD,70.51,92.05,124.45
2024Q1,PETIR ROAD,237.5,292.06,429.29
2024Q1,PHILLIP STREET,-,-,-
2024Q1,PICKERING STREET,-,-,-
2024Q1,PUNGGOL CENTRAL,236.56,296.06,362.59
2024Q1,QUEEN STREET,-,-,-
2024Q1,QUEENSWAY,94.37,105.26,126.92
2024Q1,RAFFLES AVENUE,-,76.44,-
2024Q1,RAFFLES BOULEVARD,69.94,97.33,138.66
2024Q1,RAFFLES LINK,69.95,85.56,93.57
2024Q1,RAFFLES PLACE,121.21,166.48,255.62
2024Q1,RAFFLES QUAY,134.59,139.73,161.75
2024Q1,RIVER VALLEY ROAD,71.15,91.99,96.62
2024Q1,RIVERVALE CRESCENT,297.9,379,416.67
2024Q1,ROBERTSON QUAY,134.57,156.2,169.64
2024Q1,ROBINSON ROAD,100.67,110.05,141.98
2024Q1,ROCHESTER PARK,-,-,-
2024Q1,ROCHOR CANAL ROAD,59.38,78.38,111.11
2024Q1,ROCHOR ROAD,73.44,108.33,117.26
2024Q1,SAM LEONG ROAD,-,67.82,-
2024Q1,SCOTTS ROAD,92.67,112.05,137.5
2024Q1,SELEGIE ROAD,57.64,73.07,96.43
2024Q1,SEMBAWANG DRIVE,194.6,263.91,420.95
2024Q1,SEMBAWANG ROAD,97.6,111.26,172.85
2024Q1,SENGKANG SQUARE,238.37,282.85,297.76
2024Q1,SENGKANG WEST AVENUE,198.55,276.49,516.87
2024Q1,SERANGOON CENTRAL,265.15,360.41,421.08
2024Q1,SERANGOON ROAD,59.73,133.34,170.4
2024Q1,SHENTON WAY,75.84,84.02,98.41
2024Q1,SIMS AVENUE,70.05,130.95,199.4
2024Q1,SIMS DRIVE,-,67.86,-
2024Q1,SIN MING ROAD,55.68,69.75,91.76
2024Q1,SINARAN DRIVE,124.42,150.36,207.22
2024Q1,SOMERSET ROAD,90.9,105.01,120.29
2024Q1,SOUTH BRIDGE ROAD,51.76,69.07,99.48
2024Q1,SOUTH BUONA VISTA ROAD,46.43,57.14,69.23
2024Q1,STADIUM WALK,81.94,122.36,135.31
2024Q1,TAI THONG CRESCENT,-,86.07,-
2024Q1,TAMPINES CENTRAL 1,168.84,264.43,451.11
2024Q1,TAMPINES CENTRAL 5,196.81,316.73,357.29
2024Q1,TAN QUEE LAN STREET,191.22,222.55,234.79
2024Q1,TANGLIN ROAD,56.94,145.34,211.27
2024Q1,TANJONG KATONG ROAD,69.94,88.3,154
2024Q1,TELOK AYER STREET,-,-,-
2024Q1,TELOK KURAU ROAD,-,60.61,-
2024Q1,TEMASEK BOULEVARD,169.57,223.98,328.61
2024Q1,THOMSON ROAD,127.89,181.01,254.03
2024Q1,TIONG BAHRU ROAD,104.5,128.76,170.2
2024Q1,TRAS STREET,-,-,-
2024Q1,UNITY STREET,83.48,101.11,146.13
2024Q1,UPPER BUKIT TIMAH ROAD,74.15,84,111.24
2024Q1,UPPER CIRCULAR ROAD,64.38,69.8,76.21
2024Q1,UPPER CROSS STREET,53.37,65.95,112.39
2024Q1,UPPER SERANGOON ROAD,90.91,133.15,153.02
2024Q1,UPPER THOMSON ROAD,116.31,167.14,217.84
2024Q1,VICTORIA STREET,84.41,140.3,250.95
2024Q1,WEST COAST DRIVE,52.32,57.69,58.83
2024Q1,WEST COAST ROAD,83.94,90.72,103.73
2024Q1,WILKIE ROAD,79.2,85.12,102.03
2024Q1,WOODLANDS ROAD,85.09,109.38,136.76
2024Q1,WOODLANDS SQUARE,191.28,276.1,359.93
2024Q1,YISHUN AVENUE 2,219.79,302.63,391.16
2024Q1,YISHUN AVENUE 9,104.93,124.45,144.44
2024Q1,YISHUN RING ROAD,126.86,160.03,160.44
