Reference Quarter,Street,25th Percentile Retail Rent ($ PSM per month),Median Retail Rent ($ PSM per month),75th Percentile Retail Rent ($ PSM per month)
2024Q1,AIRPORT BOULEVARD,187.1,285.17,380.98
2024Q1,ALBERT STREET,-,-,-
2024Q1,ALEXANDRA ROAD,87.81,107.07,135.8
2024Q1,ANG MO KIO AVENUE 3,326.48,435.37,643.3
2024Q1,ANSON ROAD,90.68,111.54,162.86
2024Q1,BALESTIER ROAD,48.56,81.82,100
2024Q1,BATTERY ROAD,-,-,-
2024Q1,BAYFRONT AVENUE,379.48,457.59,670.01
2024Q1,BEACH ROAD,64.59,76.46,93.55
2024Q1,BEDOK ROAD,-,93.25,-
2024Q1,BENCOOLEN STREET,73.33,120,190.79
2024Q1,BIDADARI PARK DRIVE,330.92,470.3,591.03
2024Q1,BRAS BASAH ROAD,-,168.33,-
2024Q1,BROOKE ROAD,-,-,-
2024Q1,BUKIT TIMAH ROAD,84.13,122.58,190.97
2024Q1,CANTONMENT ROAD,-,-,-
2024Q1,CECIL STREET,92.22,124.07,140.56
2024Q1,CHANGI BUSINESS PARK CENTRAL 1,129.71,165.53,231.65
2024Q1,CHANGI ROAD,60,72.22,96.3
2024Q1,CHIN SWEE ROAD,-,90,-
2024Q1,CHOA CHU KANG AVENUE 4,200.36,260.89,367.71
2024Q1,CHOA CHU KANG NORTH 6,199.23,213.05,301.47
2024Q1,CHULIA STREET,-,-,-
2024Q1,CHURCH STREET,-,-,-
2024Q1,CLAYMORE DRIVE,-,-,-
2024Q1,CLEMENCEAU AVENUE,67.81,80.47,86.11
2024Q1,COLEMAN STREET,55.96,63.76,86.46
2024Q1,COLLYER QUAY,144.24,225.45,341.15
2024Q1,COMMONWEALTH AVENUE WEST,304.59,382.04,581.47
2024Q1,CROSS STREET,-,-,-
2024Q1,CUSCADEN ROAD,-,-,-
2024Q1,EAST COAST ROAD,63.71,76.09,127.43
2024Q1,EU TONG SEN STREET,79.41,89.29,125.65
2024Q1,FOCH ROAD,-,-,-
2024Q1,GEYLANG ROAD,62.61,88.24,127.1
2024Q1,GOLDHILL PLAZA,-,54.55,-
2024Q1,GOPENG STREET,-,82.07,-
2024Q1,GUILLEMARD ROAD,46.23,49.34,60.39
2024Q1,HARBOUR DRIVE,-,-,-
2024Q1,HARBOURFRONT PLACE,-,-,-
2024Q1,HAVELOCK ROAD,66.43,72.57,100
2024Q1,HIGH STREET,-,-,-
2024Q1,HILL STREET,-,-,-
2024Q1,HOLLAND AVENUE,123.69,153.79,183.83
2024Q1,HOUGANG AVENUE 10,194.48,293.03,387.55
2024Q1,HOUGANG STREET 51,96.34,96.83,127.83
