Reference Quarter,Street,25th Percentile Retail Rent ($ PSM per month),Median Retail Rent ($ PSM per month),75th Percentile Retail Rent ($ PSM per month)
2024Q3,SAM LEONG ROAD,76.35,84.06,88.52
2024Q3,SCOTTS ROAD,102.31,129.29,161.98
2024Q3,SELEGIE ROAD,70.73,87.88,116.53
2024Q3,SEMBAWANG DRIVE,160.64,214.39,256.14
2024Q3,SEMBAWANG ROAD,107.64,132.21,143.9
2024Q3,SENGKANG SQUARE,226.59,303.12,400.8
2024Q3,SENGKANG WEST AVENUE,216.86,248.49,495.89
2024Q3,SERANGOON CENTRAL,296.25,368.7,431.59
2024Q3,SERANGOON ROAD,139.66,155,183.07
2024Q3,SHENTON WAY,67.56,78.08,95.61
2024Q3,SIMS AVENUE,-,67.06,-
2024Q3,SIN MING ROAD,54.36,65.49,104.75
2024Q3,SINARAN DRIVE,110.12,150.89,225.99
2024Q3,SOMERSET ROAD,93.07,122.24,165.51
2024Q3,SOUTH BRIDGE ROAD,50,87.23,96.51
2024Q3,SOUTH BUONA VISTA ROAD,53.93,56.32,68.27
2024Q3,STADIUM WALK,76.94,87.62,107.87
2024Q3,STAMFORD ROAD,115.39,125.82,139.75
2024Q3,TAMPINES CENTRAL 1,181.25,277.33,401.42
2024Q3,TAMPINES CENTRAL 5,197.86,310.22,414.13
2024Q3,TAMPINES GRANDE,-,-,-
2024Q3,TAMPINES STREET 32,84.98,117.17,133.59
2024Q3,TANGLIN ROAD,113.96,167.65,218.46
2024Q3,TANJONG KATONG ROAD,85.52,99.66,139.85
2024Q3,TELOK KURAU ROAD,71.81,82.22,96.89
2024Q3,TEMASEK BOULEVARD,148.14,192.58,293.24
2024Q3,THOMSON ROAD,104.83,195.35,238.45
2024Q3,TIONG BAHRU ROAD,209.31,275.06,385.37
2024Q3,TRAS STREET,92.23,107.64,133.83
2024Q3,UNITY STREET,-,107.28,-
2024Q3,UPPER BUKIT TIMAH ROAD,53.3,73.43,114.84
2024Q3,UPPER CIRCULAR ROAD,-,-,-
2024Q3,UPPER CROSS STREET,71.43,97.22,119.44
2024Q3,UPPER SERANGOON ROAD,65.22,109,119.05
2024Q3,UPPER THOMSON ROAD,127.88,165.27,193.99
2024Q3,VICTORIA STREET,129.81,189.92,249.62
2024Q3,WATERLOO STREET,-,-,-
2024Q3,WEST COAST DRIVE,56.84,59.81,64.32
2024Q3,WILKIE ROAD,-,94.17,-
2024Q3,WOODLANDS ROAD,85.06,90.93,110.06
2024Q3,WOODLANDS SQUARE,255.82,321,402.55
2024Q3,YIO CHU KANG ROAD,64.22,79.31,86.07
2024Q3,YISHUN AVENUE 2,237.16,341.19,388.42
2024Q3,YISHUN AVENUE 9,133.45,149.56,187.5
2024Q3,YISHUN RING ROAD,140.97,182.41,229.5
