Street_name,captive_catchment
AIRPORT BOULEVARD,0.006299774738054299
ALBERT STREET,0.038257632757071745
ALEXANDRA ROAD,0.3672562541006896
ANG MO KIO AVENUE 3,0.5794975526647966
ANSON ROAD,0.053033153145997436
BALESTIER ROAD,0.20991310730117083
BATTERY ROAD,0.06973826167164211
BAYFRONT AVENUE,0.20979127476234377
BEACH ROAD,0.07944339959508062
BEDOK NORTH STREET 1,0.7279963843826865
BEDOK ROAD,0.7063215327501615
BENCOOLEN STREET,0.023462344326986816
BIDADARI PARK DRIVE,0.37549675495478535
BRAS BASAH ROAD,0.030095017502758715
BROOKE ROAD,0.13042633412345975
BUKIT TIMAH ROAD,0
CAVAN ROAD,0.15924678814613477
CECIL STREET,0.02561498367112623
CENTRAL BOULEVARD,0.009891042169807901
CHANGI BUSINESS PARK CENTRAL 1,0.7606710969449241
CHANGI ROAD,0.33214800135505573
CHIN SWEE ROAD,0.04694078209365383
CHOA CHU KANG AVENUE 4,0.4400102304451741
CHOA CHU KANG NORTH 6,0.5016832853328055
CLAYMORE DRIVE,0.040993298496860495
CLEMENCEAU AVENUE,0.022490710775434422
CLEMENTI AVENUE 3,0.2444830710931251
COLEMAN STREET,0.05462366959814511
COLLYER QUAY,0.09619147231034192
COMMONWEALTH AVENUE WEST,0.21577707428572093
COMPASSVALE BOW,0.6492992060133647
CROSS STREET,0.2163372527857396
CUSCADEN ROAD,0.004244717157231797
EAST COAST ROAD,0.7087861720520805
EASTWOOD ROAD,0.7013808341092468
ENG HOON STREET,0.36002046642388
ENGGOR STREET,0.03349393390516092
EU TONG SEN STREET,0.20451335941440485
FOCH ROAD,0.18538558710163444
GEYLANG ROAD,0.3281373675169329
GOLDHILL PLAZA,0.24144329030933778
GOPENG STREET,0.04561324223476483
GUILLEMARD ROAD,0.3181674946964231
HANDY ROAD,0.06643918656294173
HAVELOCK ROAD,0.36651889881328725
HIGH STREET,0.015976587709720425
HOLLAND AVENUE,0.38553219166001923
HOUGANG AVENUE 10,0.5768209507756956
HOUGANG STREET 51,0.5807385631981958
HOUGANG STREET 91,0.5540375463906929
IRRAWADDY ROAD,0.3185255099725425
JALAN ANAK BUKIT,0.30237705462846726
JALAN BESAR,0.19160154475100075
JALAN JURONG KECHIL,0.3234688559947235
JALAN LEGUNDI,0.2582376635096763
JALAN MASJID,0.7160471888543287
JALAN SULTAN,0.1603722607537617
JELEBU ROAD,0.3728680217838156
JOO CHIAT ROAD,0.36776697560481586
