Street_name,captive_catchment
JOO KOON CIRCLE,0.0030443550927541944
JURONG EAST STREET 21,0.17647009397052946
JURONG GATEWAY ROAD,0.3349684815851037
JURONG WEST CENTRAL 2,0.9181270543709744
JURONG WEST CENTRAL 3,1
KALLANG AVENUE,0.1640072382882055
KELANTAN LANE,0.06740445769296965
KEPPEL ROAD,0.3527936021213959
KITCHENER ROAD,0.46071599587481243
KOEK ROAD,0.03085987864513793
LAVENDER STREET,0.16703101033727358
LORONG 22 GEYLANG,0.3175296411694935
LORONG 4 TOA PAYOH,0.4050657881899601
LORONG KILAT,0.3170526805022806
LORONG LIPUT,0.2270072920902759
MACPHERSON ROAD,0.31111964774573464
MAJU AVENUE,0.27990279332386314
MARINA BOULEVARD,0.023850416648380467
MARINA VIEW,0.05997553976521645
MARINE PARADE ROAD,0.6995151463246096
MARITIME SQUARE,0.41552684231603276
MARKET STREET,0.7248217750503116
MARNE ROAD,0.19720821120746926
MERCHANT ROAD,0.015604792349766906
MIDDLE ROAD,0.020544460386233664
MOHAMED SULTAN ROAD,0.018821410754374813
MOUNTBATTEN ROAD,0.16660807392109803
NEW BRIDGE ROAD,0.16249389621843166
NEW UPPER CHANGI ROAD,0.7125977578506033
NORTH BRIDGE ROAD,0.046410979812796835
NORTH BUONA VISTA DRIVE,0.2402578284456934
NORTHPOINT DRIVE,0.7484937230571252
OCEAN WAY,0.005056317448721638
ORCHARD ROAD,0.041469888544882885
ORCHARD TURN,0.0669521905039242
OUTRAM ROAD,0.23236390476472105
PASIR PANJANG ROAD,0.2177445315379405
PASIR RIS CENTRAL,0.36717963008311105
PASIR RIS CLOSE,0.3473922658674995
PAYA LEBAR ROAD,0.6504552384377633
PENANG ROAD,0.03685963228599468
PETIR ROAD,0.35020135911604217
PUNGGOL CENTRAL,0.38506120132073995
QUEENSWAY,0.23153486476204302
RACE COURSE ROAD,0.1622074068508656
RAFFLES AVENUE,0.02511182527710275
RAFFLES BOULEVARD,0.07004777423637729
RAFFLES LINK,0.01775360492911002
RAFFLES PLACE,0.47188710572367243
RAFFLES QUAY,0.041979766317212217
RANGOON ROAD,0.1716707702631673
RIVER VALLEY ROAD,0.03954726039847239
RIVERVALE CRESCENT,0.630436365817243
ROBERTSON QUAY,0.009602205922428579
ROBINSON ROAD,0.034178618843525244
ROCHOR CANAL ROAD,0.2379175126102388
ROCHOR ROAD,0.11104838833558033
SAM LEONG ROAD,0.19003388747918767
SCOTTS ROAD,0.03654374467172137
SELEGIE ROAD,0.02646407885227955
SEMBAWANG DRIVE,0.25287774544638236
SEMBAWANG ROAD,0.020585586831829837
SENGKANG SQUARE,0.6966871610537908
SENGKANG WEST AVENUE,0.655124606511441
SERANGOON CENTRAL,0.31751053035674054
SERANGOON ROAD,0.16715022389969753
SHENTON WAY,0.03459705063265652
SIMS AVENUE,0.34543361090145214
SIMS DRIVE,0.33346786147386487
SIN MING ROAD,0.22349225186875787
SINARAN DRIVE,0.23866899852743714
SOMERSET ROAD,0.1435218006092746
SOUTH BRIDGE ROAD,0.09162475695801632
SOUTH BUONA VISTA ROAD,0.2080869918655243
STADIUM WALK,0.16067982914478693
STAMFORD ROAD,0.06204490669135233
TAI SENG STREET,0.580730127606014
TAI THONG CRESCENT,0.38458062220881617
TAMPINES CENTRAL 1,0.7929786516842113
TAMPINES CENTRAL 5,0.8235439558368013
TAMPINES STREET 32,0.716354249011052
TAN QUEE LAN STREET,0.12373129878782436
TANGLIN ROAD,0.04130716586494105
TANJONG KATONG ROAD,0.3176470955753598
TELOK AYER STREET,0.04047757252303725
TELOK KURAU ROAD,0.6973330097992996
TEMASEK BOULEVARD,0.03114820005348817
TESSENSOHN ROAD,0.16850892898335532
THOMSON ROAD,0.21440352540001026
TIONG BAHRU ROAD,0.4671029359042609
TRAS STREET,0.037898258662567616
UNITY STREET,0.013385910740736189
UPPER BUKIT TIMAH ROAD,0.3991013708000205
UPPER CIRCULAR ROAD,0.04559587575677467
UPPER CROSS STREET,0.09348484514865789
UPPER SERANGOON ROAD,0.5692970615476245
UPPER THOMSON ROAD,0.22242391327406857
VICTORIA STREET,0.9013669305271991
WEST COAST DRIVE,0.2236863567849544
WEST COAST ROAD,0.22435341315625384
WILKIE ROAD,0.03320027735813336
WOODLANDS AVENUE 1,0.6860163687617604
WOODLANDS ROAD,0.3327511951781244
WOODLANDS SQUARE,0.7900095709019498
YIO CHU KANG ROAD,0.5634465401383287
YISHUN AVENUE 2,0.7657714205474038
YISHUN AVENUE 9,0.58240328629088145
YISHUN CENTRAL 1,0.5940217423337489
YISHUN RING ROAD,0.5781914600072054
