Street_name,captive_catchment
UPPER BUKIT TIMAH ROAD,0.39505828738126525
UPPER CIRCULAR ROAD,0.04632145132766281
UPPER CROSS STREET,0.09120183207406043
UPPER SERANGOON ROAD,0.5642130084128676
UPPER THOMSON ROAD,0.22048709354324042
VICTORIA STREET,0.8760167028468808
WEST COAST DRIVE,0.2219439584620706
WEST COAST ROAD,0.22272002701609872
WILKIE ROAD,0.03252666183528405
WOODLANDS AVENUE 1,0.6798348793105184
WOODLANDS ROAD,0.3301275288871982
WOODLANDS SQUARE,0.77953101002788
YIO CHU KANG ROAD,0.5587588242564414
YISHUN AVENUE 2,0.7658199445879812
YISHUN AVENUE 9,0.5774816189735463
YISHUN CENTRAL 1,0.5884678706279863
YISHUN RING ROAD,0.5732986541733213
