Reference Quarter,Street,25th Percentile Retail Rent ($ PSM per month),Median Retail Rent ($ PSM per month),75th Percentile Retail Rent ($ PSM per month)
2024Q2,SENGKANG SQUARE,263.65,277.66,348.79
2024Q2,SENGKANG WEST AVENUE,196.83,264.25,350
2024Q2,SERANGOON CENTRAL,332.89,411.72,472.23
2024Q2,SERANGOON ROAD,90.13,115.74,160.58
2024Q2,SHENTON WAY,78.98,96.57,120.87
2024Q2,SIMS AVENUE,61.75,78.81,97.03
2024Q2,SIN MING ROAD,61.67,83.33,103.54
2024Q2,SINARAN DRIVE,114.78,170.59,227.02
2024Q2,SOMERSET ROAD,97.83,140.99,153.61
2024Q2,SOUTH BRIDGE ROAD,42.94,56.45,76.92
2024Q2,SOUTH BUONA VISTA ROAD,45.28,57.14,77.2
2024Q2,STADIUM WALK,82.35,95.81,124.58
2024Q2,STAMFORD ROAD,92.37,151.77,169.53
2024Q2,TAI SENG STREET,100.1,125.03,141.14
2024Q2,TAI THONG CRESCENT,-,91.5,-
2024Q2,TAMPINES CENTRAL 1,171.03,212.24,323.06
2024Q2,TAMPINES CENTRAL 5,259.45,331.93,477.46
2024Q2,TAMPINES GRANDE,-,-,-
2024Q2,TAMPINES STREET 32,95.73,102.12,132.23
2024Q2,TAN QUEE LAN STREET,-,191.32,-
2024Q2,TANGLIN ROAD,84.69,107.75,214.61
2024Q2,TANJONG KATONG ROAD,92.67,110.78,131.61
2024Q2,TELOK AYER STREET,-,282.61,-
2024Q2,TELOK KURAU ROAD,81.48,81.63,83.33
2024Q2,TEMASEK BOULEVARD,151.48,184.35,203.76
2024Q2,TESSENSOHN ROAD,-,89.94,-
2024Q2,THOMSON ROAD,147.12,194.14,268.78
2024Q2,TIONG BAHRU ROAD,187.44,253.66,363
2024Q2,TRAS STREET,-,96.65,-
2024Q2,UNITY STREET,98.93,100.84,105.49
2024Q2,UPPER BUKIT TIMAH ROAD,70.21,76.33,95.55
2024Q2,UPPER CIRCULAR ROAD,55.18,66.51,76.02
2024Q2,UPPER CROSS STREET,55.83,68.84,98.19
2024Q2,UPPER SERANGOON ROAD,70.65,115.39,138.56
2024Q2,UPPER THOMSON ROAD,130.89,180.38,208.91
2024Q2,VICTORIA STREET,122.15,194.52,307.49
2024Q2,WATERLOO STREET,-,-,-
2024Q2,WEST COAST DRIVE,53.37,65.57,76.08
2024Q2,WEST COAST ROAD,82.48,92.49,112.59
2024Q2,WOODLANDS ROAD,85.62,93.45,107.41
2024Q2,WOODLANDS SQUARE,211.46,270.23,453.63
2024Q2,YIO CHU KANG ROAD,75.78,76.57,85.66
2024Q2,YISHUN AVENUE 2,228.81,279.98,387.72
2024Q2,YISHUN AVENUE 9,131.18,142.86,153.06
