Reference Quarter,Street,25th Percentile Retail Rent ($ PSM per month),Median Retail Rent ($ PSM per month),75th Percentile Retail Rent ($ PSM per month)
2024Q4,AIRPORT BOULEVARD,205.65,279.95,412.46
2024Q4,ALBERT STREET,67.42,83.33,85.19
2024Q4,ALEXANDRA ROAD,87.15,116.38,144.4
2024Q4,ANG MO KIO AVENUE 3,232.12,306.48,517.29
2024Q4,ANSON ROAD,91.3,91.54,139.94
2024Q4,ARMENIAN STREET,-,-,-
2024Q4,BALESTIER ROAD,68.3,106.72,119.06
2024Q4,BATTERY ROAD,-,-,-
2024Q4,BAYFRONT AVENUE,333.73,452.21,527.56
2024Q4,BEACH ROAD,60.99,77.36,98.24
2024Q4,BEDOK NORTH STREET 1,108.35,128.62,146.75
2024Q4,BENCOOLEN STREET,80.12,106.23,158.21
2024Q4,BIDADARI PARK DRIVE,438.4,553.9,565.62
2024Q4,BRAS BASAH ROAD,154.81,179.53,206.9
2024Q4,BUKIT TIMAH ROAD,81.79,134.62,172.54
2024Q4,CECIL STREET,58.89,63.81,84.41
2024Q4,CHANGI BUSINESS PARK CENTRAL 1,150.77,223.78,289.6
2024Q4,CHANGI ROAD,65.49,69.63,93.5
2024Q4,CHIN SWEE ROAD,-,-,-
2024Q4,CHOA CHU KANG AVENUE 4,252.93,329.04,475.71
2024Q4,CHOA CHU KANG NORTH 6,209.32,236.91,269.17
2024Q4,CHULIA STREET,-,-,-
2024Q4,CHURCH STREET,-,-,-
2024Q4,CLAYMORE DRIVE,-,67.81,-
2024Q4,CLEMENCEAU AVENUE,72.05,84.18,100.23
2024Q4,CLEMENTI AVENUE 3,90.81,127.21,158.61
2024Q4,COLEMAN STREET,69.05,82.35,98.15
2024Q4,COLLYER QUAY,157.62,187.65,197.31
2024Q4,COMMONWEALTH AVENUE WEST,321.42,554.09,644.12
2024Q4,COMPASSVALE BOW,140.69,365.81,404.19
2024Q4,CROSS STREET,131.85,152.32,166.38
2024Q4,CUSCADEN ROAD,-,199.1,-
2024Q4,EAST COAST ROAD,73.46,115.79,207.86
2024Q4,EASTWOOD ROAD,-,89.74,-
2024Q4,ENG HOON STREET,-,93.66,-
2024Q4,ENGGOR STREET,-,113.76,-
2024Q4,EU TONG SEN STREET,63.89,80.95,101.65
2024Q4,FOCH ROAD,-,140.46,-
2024Q4,GEYLANG ROAD,64.71,100.63,161.9
2024Q4,GOLDHILL PLAZA,-,-,-
2024Q4,GOPENG STREET,86.79,133.41,159.52
2024Q4,GUILLEMARD ROAD,52.43,58.92,93.94
2024Q4,HANDY ROAD,84.54,87.4,102.99
2024Q4,HAVELOCK ROAD,66.78,69.64,107.96
2024Q4,HIGH STREET,-,-,-
2024Q4,HOLLAND AVENUE,137.37,143.66,193.51
2024Q4,HOUGANG AVENUE 10,228.87,339.54,360.5
2024Q4,HOUGANG STREET 51,100.12,102,115.45
2024Q4,HOUGANG STREET 91,146.09,161.67,284.53
2024Q4,IRRAWADDY ROAD,-,153.23,-
2024Q4,JALAN ANAK BUKIT,102.73,113.95,125
2024Q4,JALAN BESAR,64.95,86.36,100.5
2024Q4,JALAN JURONG KECHIL,94.44,116.67,125
2024Q4,JALAN LEGUNDI,143.64,149.04,153.46
2024Q4,JALAN SULTAN,44.96,55.77,79.7
2024Q4,JELEBU ROAD,236.83,294.22,354.96
2024Q4,JOO CHIAT ROAD,74.71,83.82,84
2024Q4,JOO KOON CIRCLE,-,130.59,-
2024Q4,JURONG EAST STREET 21,189.35,226.96,307.15
2024Q4,JURONG GATEWAY ROAD,181.27,293.23,363.43
2024Q4,JURONG WEST CENTRAL 2,190.29,286.11,351.86
2024Q4,JURONG WEST CENTRAL 3,241.37,303.79,371.37
2024Q4,KELANTAN LANE,-,93.81,-
2024Q4,KEPPEL ROAD,-,33.72,-
2024Q4,KITCHENER ROAD,114.69,157.26,207.51
2024Q4,KOEK ROAD,80.79,108.76,113.03
2024Q4,KRAMAT LANE,-,-,-
2024Q4,LAVENDER STREET,-,-,-
2024Q4,MACPHERSON ROAD,58.91,63.37,99.95
2024Q4,MAJU AVENUE,-,218.75,-
2024Q4,MALACCA STREET,-,-,-
2024Q4,MARINA BOULEVARD,99.68,154.21,199.02
2024Q4,MARINA VIEW,106.41,201.72,262.18
2024Q4,MARINE PARADE ROAD,202.02,246.86,380.07
2024Q4,MARITIME SQUARE,122.26,168.81,201.03
2024Q4,MARKET STREET,-,-,-
2024Q4,MERCHANT ROAD,69.68,96.96,169.76
2024Q4,MIDDLE ROAD,87.5,115.38,199.07
