Reference Quarter,Street,25th Percentile Retail Rent ($ PSM per month),Median Retail Rent ($ PSM per month),75th Percentile Retail Rent ($ PSM per month)
2024Q4,MOHAMED SULTAN ROAD,-,167.32,-
2024Q4,MOUNTBATTEN ROAD,57.5,78.43,93.33
2024Q4,NEW BRIDGE ROAD,152.97,219.43,287.66
2024Q4,NEW UPPER CHANGI ROAD,245.52,266.9,305.97
2024Q4,NORTH BRIDGE ROAD,98.92,150,253.05
2024Q4,NORTH BUONA VISTA DRIVE,125.31,137.7,152.22
2024Q4,NORTHPOINT DRIVE,205.57,289.53,473.82
2024Q4,OCEAN WAY,89.2,93.67,114.98
2024Q4,ORCHARD ROAD,102.6,151.8,235.5
2024Q4,ORCHARD TURN,316.48,392.58,530.58
2024Q4,OUTRAM ROAD,-,-,-
2024Q4,PASIR PANJANG ROAD,48.33,56.45,63.83
2024Q4,PASIR RIS CLOSE,104.19,123.81,192.31
2024Q4,PAYA LEBAR ROAD,165.29,212.26,287.42
2024Q4,PECK SEAH STREET,-,-,-
2024Q4,PENANG ROAD,138.76,162.82,180.39
2024Q4,PETIR ROAD,157.25,249.19,332.76
2024Q4,PHILLIP STREET,-,-,-
2024Q4,PUNGGOL CENTRAL,229.37,303.93,396.84
2024Q4,QUEEN STREET,-,-,-
2024Q4,QUEENSWAY,83.73,90,106.97
2024Q4,RACE COURSE ROAD,-,85.37,-
2024Q4,RAFFLES BOULEVARD,84.5,106.72,144.11
2024Q4,RAFFLES LINK,114.98,129.65,142.46
2024Q4,RAFFLES PLACE,133.4,197.03,270.81
2024Q4,RAFFLES QUAY,86.13,96.9,129.29
2024Q4,RIVER VALLEY ROAD,101.64,112.57,145.83
2024Q4,RIVERVALE CRESCENT,176.49,207.48,260.61
2024Q4,ROBERTSON QUAY,155.27,178.03,221.59
2024Q4,ROBINSON ROAD,108.91,123.08,148.81
2024Q4,ROCHOR CANAL ROAD,57.57,80.62,98.53
2024Q4,ROCHOR ROAD,109.5,121.95,136.36
2024Q4,SCOTTS ROAD,91.86,112.86,139.02
2024Q4,SELEGIE ROAD,60.98,83.98,117.95
2024Q4,SEMBAWANG DRIVE,181.8,228.25,262.81
2024Q4,SEMBAWANG ROAD,127.69,140.61,202.97
2024Q4,SENGKANG SQUARE,199.81,242.63,327.07
2024Q4,SENGKANG WEST AVENUE,209.83,260.14,309.01
2024Q4,SERANGOON CENTRAL,236.45,333.93,378.19
2024Q4,SERANGOON ROAD,69.97,94,142.63
2024Q4,SHENTON WAY,60.12,75.35,128.28
2024Q4,SIMS AVENUE,165.29,188.57,286.1
2024Q4,SIN MING ROAD,52.75,55.97,76.47
2024Q4,SINARAN DRIVE,96.36,135.85,182.36
2024Q4,SOMERSET ROAD,87.64,131.97,161.26
2024Q4,SOUTH BRIDGE ROAD,55.93,71.39,91.48
2024Q4,SOUTH BUONA VISTA ROAD,54.69,57.74,74.36
2024Q4,STADIUM WALK,78.56,122.08,147.17
2024Q4,STAMFORD ROAD,105.61,119.48,170.3
2024Q4,TAI SENG STREET,-,120.56,-
2024Q4,TAI THONG CRESCENT,95.09,106.95,118.99
2024Q4,TAMPINES CENTRAL 1,200.9,261.31,461.96
2024Q4,TAMPINES CENTRAL 5,196.06,283.3,452.12
2024Q4,TAMPINES GRANDE,-,-,-
2024Q4,TANGLIN ROAD,93.64,162.2,258.02
2024Q4,TANJONG KATONG ROAD,86,105.62,130.13
2024Q4,TELOK AYER STREET,-,-,-
2024Q4,TELOK KURAU ROAD,74.87,90.89,98.43
2024Q4,TEMASEK BOULEVARD,164.49,215.17,281.82
2024Q4,TESSENSOHN ROAD,-,82.81,-
2024Q4,THOMSON ROAD,142.26,207.09,298.94
2024Q4,TIONG BAHRU ROAD,141.72,202.35,263.9
2024Q4,TRAS STREET,83.89,123.88,192.49
2024Q4,UNITY STREET,89.35,127.75,158
2024Q4,UPPER BUKIT TIMAH ROAD,66.52,103.85,157.78
2024Q4,UPPER CIRCULAR ROAD,63.52,63.83,64
2024Q4,UPPER CROSS STREET,54.05,63.76,91.72
2024Q4,UPPER SERANGOON ROAD,91.23,129.17,161.67
2024Q4,UPPER THOMSON ROAD,151.26,192.71,338.59
2024Q4,VICTORIA STREET,113.03,196.66,333.92
2024Q4,WATERLOO STREET,-,-,-
2024Q4,WEST COAST DRIVE,43.38,61.22,68.87
2024Q4,WILKIE ROAD,92.61,109.2,123.86
2024Q4,WOODLANDS AVENUE 1,-,132.56,-
2024Q4,WOODLANDS ROAD,83.65,94.49,103.26
2024Q4,WOODLANDS SQUARE,206.83,249.41,314.77
2024Q4,YIO CHU KANG ROAD,48.5,55.28,59.94
2024Q4,YISHUN AVENUE 2,241.73,329.01,423.43
2024Q4,YISHUN AVENUE 9,123.32,142.86,193.33
2024Q4,YISHUN CENTRAL 1,-,145.67,-
2024Q4,YISHUN RING ROAD,168.6,181.91,234.98
