,Street_name,Planning_area,Time_taken
143,TELOK AYER STREET,Tengah,3831
144,TELOK KURAU ROAD,Tengah,5662
145,TEMASEK BOULEVARD,Tengah,3734
146,TESSENSOHN ROAD,Tengah,4082
147,THOMSON ROAD,Tengah,4114
148,TIONG BAHRU ROAD,Tengah,4156
149,TRAS STREET,Tengah,3032
150,UNITY STREET,Tengah,4191
151,UPPER BUKIT TIMAH ROAD,Tengah,1607
152,UPPER CIRCULAR ROAD,Tengah,3944
153,UPPER CROSS STREET,Tengah,4002
154,UPPER SERANGOON ROAD,Tengah,4691
155,UPPER THOMSON ROAD,Tengah,4468
156,VICTORIA STREET,Tengah,3399
157,WEST COAST DRIVE,Tengah,2727
158,WEST COAST ROAD,Tengah,2838
159,WILKIE ROAD,Tengah,4319
160,WOODLANDS AVENUE 1,Tengah,3171
161,WOODLANDS ROAD,Tengah,2140
162,WOODLANDS SQUARE,Tengah,2650
163,YIO CHU KANG ROAD,Tengah,5223
164,YISHUN AVENUE 2,Tengah,3510
165,YISHUN AVENUE 9,Tengah,3862
166,YISHUN CENTRAL 1,Tengah,3534
167,YISHUN RING ROAD,Tengah,4060
