,Street_name,Planning_area,Time_taken
106,RAFFLES PLACE,Sungei Kadut,4364
107,RAFFLES QUAY,Sungei Kadut,4169
108,RANGOON ROAD,Sungei Kadut,4183
109,RIVER VALLEY ROAD,Sungei Kadut,4757
110,RIVERVALE CRESCENT,Sungei Kadut,5290
111,ROBERTSON QUAY,Sungei Kadut,4998
112,ROBINSON ROAD,Sungei Kadut,4334
113,ROCHOR CANAL ROAD,Sungei Kadut,3836
114,ROCHOR ROAD,Sungei Kadut,3812
115,SAM LEONG ROAD,Sungei Kadut,4300
116,SCOTTS ROAD,Sungei Kadut,3799
117,SELEGIE ROAD,Sungei Kadut,4608
118,SEMBAWANG DRIVE,Sungei Kadut,2876
119,SEMBAWANG ROAD,Sungei Kadut,3118
120,SENGKANG SQUARE,Sungei Kadut,5024
121,SENGKANG WEST AVENUE,Sungei Kadut,4941
122,SERANGOON CENTRAL,Sungei Kadut,4343
123,SERANGOON ROAD,Sungei Kadut,4715
124,SHENTON WAY,Sungei Kadut,4543
125,SIMS AVENUE,Sungei Kadut,4406
126,SIMS DRIVE,Sungei Kadut,4787
127,SIN MING ROAD,Sungei Kadut,4769
128,SINARAN DRIVE,Sungei Kadut,3941
129,SOMERSET ROAD,Sungei Kadut,4170
130,SOUTH BRIDGE ROAD,Sungei Kadut,4308
131,SOUTH BUONA VISTA ROAD,Sungei Kadut,5422
132,STADIUM WALK,Sungei Kadut,4344
133,STAMFORD ROAD,Sungei Kadut,4625
134,TAI SENG STREET,Sungei Kadut,4408
135,TAI THONG CRESCENT,Sungei Kadut,4670
136,TAMPINES CENTRAL 1,Sungei Kadut,5713
137,TAMPINES CENTRAL 5,Sungei Kadut,5424
138,TAMPINES STREET 32,Sungei Kadut,6398
139,TAN QUEE LAN STREET,Sungei Kadut,3785
140,TANGLIN ROAD,Sungei Kadut,4491
141,TANJONG KATONG ROAD,Sungei Kadut,4921
142,TELOK AYER STREET,Sungei Kadut,4350
143,TELOK KURAU ROAD,Sungei Kadut,5450
144,TEMASEK BOULEVARD,Sungei Kadut,4054
145,TESSENSOHN ROAD,Sungei Kadut,4132
146,THOMSON ROAD,Sungei Kadut,4167
147,TIONG BAHRU ROAD,Sungei Kadut,4484
148,TRAS STREET,Sungei Kadut,4632
149,UNITY STREET,Sungei Kadut,4511
150,UPPER BUKIT TIMAH ROAD,Sungei Kadut,1837
151,UPPER CIRCULAR ROAD,Sungei Kadut,4522
152,UPPER CROSS STREET,Sungei Kadut,4577
153,UPPER SERANGOON ROAD,Sungei Kadut,4798
154,UPPER THOMSON ROAD,Sungei Kadut,3747
155,VICTORIA STREET,Sungei Kadut,3719
156,WEST COAST DRIVE,Sungei Kadut,4012
157,WEST COAST ROAD,Sungei Kadut,4030
158,WILKIE ROAD,Sungei Kadut,4639
159,WOODLANDS AVENUE 1,Sungei Kadut,2382
160,WOODLANDS ROAD,Sungei Kadut,2140
161,WOODLANDS SQUARE,Sungei Kadut,1893
162,YIO CHU KANG ROAD,Sungei Kadut,4512
163,YISHUN AVENUE 2,Sungei Kadut,2753
164,YISHUN AVENUE 9,Sungei Kadut,3043
165,YISHUN CENTRAL 1,Sungei Kadut,2777
166,YISHUN RING ROAD,Sungei Kadut,3225
167,ALBERT STREET,Yishun,3164
168,ALEXANDRA ROAD,Yishun,3369
169,ANG MO KIO AVENUE 3,Yishun,1758
170,ANSON ROAD,Yishun,3033
171,BALESTIER ROAD,Yishun,2548
172,BATTERY ROAD,Yishun,2639
173,BAYFRONT AVENUE,Yishun,2878
174,BEACH ROAD,Yishun,2693
175,BEDOK NORTH STREET 1,Yishun,4380
176,BEDOK ROAD,Yishun,4746
177,BENCOOLEN STREET,Yishun,3180
178,BIDADARI PARK DRIVE,Yishun,2766
179,BRAS BASAH ROAD,Yishun,3019
180,BROOKE ROAD,Yishun,3769
181,BUKIT TIMAH ROAD,Yishun,5481
182,CAVAN ROAD,Yishun,3001
183,CECIL STREET,Yishun,3046
184,CENTRAL BOULEVARD,Yishun,2914
185,CHANGI BUSINESS PARK CENTRAL 1,Yishun,4707
186,CHANGI ROAD,Yishun,3940
187,CHIN SWEE ROAD,Yishun,3232
188,CHOA CHU KANG AVENUE 4,Yishun,2913
189,CHOA CHU KANG NORTH 6,Yishun,2308
190,CLAYMORE DRIVE,Yishun,2822
191,CLEMENCEAU AVENUE,Yishun,2684
192,CLEMENTI AVENUE 3,Yishun,3657
193,COLEMAN STREET,Yishun,2646
194,COLLYER QUAY,Yishun,2683
195,COMMONWEALTH AVENUE WEST,Yishun,3469
