,Street_name,Planning_area,Time_taken
126,SIMS DRIVE,Bedok,1296
127,SIN MING ROAD,Bedok,2751
128,SINARAN DRIVE,Bedok,2164
129,SOMERSET ROAD,Bedok,1674
130,SOUTH BRIDGE ROAD,Bedok,1875
131,SOUTH BUONA VISTA ROAD,Bedok,3450
132,STADIUM WALK,Bedok,1468
133,STAMFORD ROAD,Bedok,1563
134,TAI SENG STREET,Bedok,1368
135,TAI THONG CRESCENT,Bedok,2153
136,TAMPINES CENTRAL 1,Bedok,1126
137,TAMPINES CENTRAL 5,Bedok,837
138,TAMPINES STREET 32,Bedok,1438
139,TAN QUEE LAN STREET,Bedok,1424
140,TANGLIN ROAD,Bedok,2462
141,TANJONG KATONG ROAD,Bedok,1185
142,TELOK AYER STREET,Bedok,1980
143,TELOK KURAU ROAD,Bedok,1284
144,TEMASEK BOULEVARD,Bedok,1850
145,TESSENSOHN ROAD,Bedok,2018
146,THOMSON ROAD,Bedok,2220
147,TIONG BAHRU ROAD,Bedok,2018
148,TRAS STREET,Bedok,1825
149,UNITY STREET,Bedok,2225
150,UPPER BUKIT TIMAH ROAD,Bedok,3682
151,UPPER CIRCULAR ROAD,Bedok,1851
152,UPPER CROSS STREET,Bedok,2218
153,UPPER SERANGOON ROAD,Bedok,2388
154,UPPER THOMSON ROAD,Bedok,2720
155,VICTORIA STREET,Bedok,1134
156,WEST COAST DRIVE,Bedok,3366
157,WEST COAST ROAD,Bedok,3682
158,WILKIE ROAD,Bedok,2428
159,WOODLANDS AVENUE 1,Bedok,4865
160,WOODLANDS ROAD,Bedok,4338
161,WOODLANDS SQUARE,Bedok,3746
162,YIO CHU KANG ROAD,Bedok,2274
163,YISHUN AVENUE 2,Bedok,2919
164,YISHUN AVENUE 9,Bedok,3588
165,YISHUN CENTRAL 1,Bedok,3253
166,YISHUN RING ROAD,Bedok,4075
167,ALBERT STREET,Bukit Timah,2211
168,ALEXANDRA ROAD,Bukit Timah,2570
169,ANG MO KIO AVENUE 3,Bukit Timah,2809
170,ANSON ROAD,Bukit Timah,2908
171,BALESTIER ROAD,Bukit Timah,2450
172,BATTERY ROAD,Bukit Timah,2509
173,BAYFRONT AVENUE,Bukit Timah,1981
174,BEACH ROAD,Bukit Timah,1924
175,BEDOK NORTH STREET 1,Bukit Timah,3637
176,BEDOK ROAD,Bukit Timah,3982
177,BENCOOLEN STREET,Bukit Timah,2735
178,BIDADARI PARK DRIVE,Bukit Timah,2602
179,BRAS BASAH ROAD,Bukit Timah,2335
180,BROOKE ROAD,Bukit Timah,3605
181,BUKIT TIMAH ROAD,Bukit Timah,2479
182,CAVAN ROAD,Bukit Timah,2662
183,CECIL STREET,Bukit Timah,2433
184,CENTRAL BOULEVARD,Bukit Timah,2609
185,CHANGI BUSINESS PARK CENTRAL 1,Bukit Timah,5191
186,CHANGI ROAD,Bukit Timah,3197
187,CHIN SWEE ROAD,Bukit Timah,2688
188,CHOA CHU KANG AVENUE 4,Bukit Timah,2747
189,CHOA CHU KANG NORTH 6,Bukit Timah,2789
190,CLAYMORE DRIVE,Bukit Timah,2280
191,CLEMENCEAU AVENUE,Bukit Timah,2782
192,CLEMENTI AVENUE 3,Bukit Timah,1886
193,COLEMAN STREET,Bukit Timah,2318
194,COLLYER QUAY,Bukit Timah,2528
195,COMMONWEALTH AVENUE WEST,Bukit Timah,1596
196,COMPASSVALE BOW,Bukit Timah,3164
197,CROSS STREET,Bukit Timah,2143
198,CUSCADEN ROAD,Bukit Timah,2248
199,EAST COAST ROAD,Bukit Timah,4417
200,EASTWOOD ROAD,Bukit Timah,4075
201,ENG HOON STREET,Bukit Timah,2589
202,ENGGOR STREET,Bukit Timah,2858
203,EU TONG SEN STREET,Bukit Timah,2535
204,FOCH ROAD,Bukit Timah,2683
205,GEYLANG ROAD,Bukit Timah,3107
206,GOLDHILL PLAZA,Bukit Timah,2199
207,GOPENG STREET,Bukit Timah,2705
208,GUILLEMARD ROAD,Bukit Timah,3219
209,HANDY ROAD,Bukit Timah,2301
210,HAVELOCK ROAD,Bukit Timah,2986
211,HIGH STREET,Bukit Timah,2403
212,HOLLAND AVENUE,Bukit Timah,1799
213,HOUGANG AVENUE 10,Bukit Timah,3979
214,HOUGANG STREET 51,Bukit Timah,4096
215,HOUGANG STREET 91,Bukit Timah,3844
216,IRRAWADDY ROAD,Bukit Timah,2112
217,JALAN ANAK BUKIT,Bukit Timah,2000
218,JALAN BESAR,Bukit Timah,2731
219,JALAN JURONG KECHIL,Bukit Timah,922
220,JALAN LEGUNDI,Bukit Timah,4744
221,JALAN MASJID,Bukit Timah,3116
222,JALAN SULTAN,Bukit Timah,2471
223,JELEBU ROAD,Bukit Timah,1937
224,JOO CHIAT ROAD,Bukit Timah,3911
225,JOO KOON CIRCLE,Bukit Timah,3979
226,JURONG EAST STREET 21,Bukit Timah,2532
