,Street_name,Planning_area,Time_taken
150,UNITY STREET,Novena,2251
151,UPPER BUKIT TIMAH ROAD,Novena,2387
152,UPPER CIRCULAR ROAD,Novena,2018
153,UPPER CROSS STREET,Novena,2102
154,UPPER SERANGOON ROAD,Novena,2354
155,UPPER THOMSON ROAD,Novena,1145
156,VICTORIA STREET,Novena,1545
157,WEST COAST DRIVE,Novena,2900
158,WEST COAST ROAD,Novena,3090
159,WILKIE ROAD,Novena,2362
160,WOODLANDS AVENUE 1,Novena,2711
161,WOODLANDS ROAD,Novena,2960
162,WOODLANDS SQUARE,Novena,2441
163,YIO CHU KANG ROAD,Novena,2455
164,YISHUN AVENUE 2,Novena,2204
165,YISHUN AVENUE 9,Novena,2873
166,YISHUN CENTRAL 1,Novena,2538
167,YISHUN RING ROAD,Novena,2581
