,Street_name,Planning_area,Time_taken
137,TAMPINES CENTRAL 5,Woodlands,4826
138,TAMPINES STREET 32,Woodlands,5035
139,TAN QUEE LAN STREET,Woodlands,3462
140,TANGLIN ROAD,Woodlands,3668
141,TANJONG KATONG ROAD,Woodlands,4017
142,TELOK AYER STREET,Woodlands,4067
143,TELOK KURAU ROAD,Woodlands,4465
144,TEMASEK BOULEVARD,Woodlands,3760
145,TESSENSOHN ROAD,Woodlands,3699
146,THOMSON ROAD,Woodlands,3014
147,TIONG BAHRU ROAD,Woodlands,3199
148,TRAS STREET,Woodlands,3912
149,UNITY STREET,Woodlands,4033
150,UPPER BUKIT TIMAH ROAD,Woodlands,2516
151,UPPER CIRCULAR ROAD,Woodlands,3784
152,UPPER CROSS STREET,Woodlands,3798
153,UPPER SERANGOON ROAD,Woodlands,3889
154,UPPER THOMSON ROAD,Woodlands,2346
155,VICTORIA STREET,Woodlands,3428
156,WEST COAST DRIVE,Woodlands,3442
157,WEST COAST ROAD,Woodlands,3509
158,WILKIE ROAD,Woodlands,4276
159,WOODLANDS AVENUE 1,Woodlands,1439
160,WOODLANDS ROAD,Woodlands,2675
161,WOODLANDS SQUARE,Woodlands,428
162,YIO CHU KANG ROAD,Woodlands,3474
163,YISHUN AVENUE 2,Woodlands,1617
164,YISHUN AVENUE 9,Woodlands,1944
165,YISHUN CENTRAL 1,Woodlands,1641
166,YISHUN RING ROAD,Woodlands,1712
167,ALBERT STREET,Marine Parade,2008
168,ALEXANDRA ROAD,Marine Parade,2638
169,ANG MO KIO AVENUE 3,Marine Parade,3159
170,ANSON ROAD,Marine Parade,2233
171,BALESTIER ROAD,Marine Parade,2411
172,BATTERY ROAD,Marine Parade,1989
173,BAYFRONT AVENUE,Marine Parade,1670
174,BEACH ROAD,Marine Parade,1402
175,BEDOK NORTH STREET 1,Marine Parade,2210
176,BEDOK ROAD,Marine Parade,2313
177,BENCOOLEN STREET,Marine Parade,1930
178,BIDADARI PARK DRIVE,Marine Parade,2282
179,BRAS BASAH ROAD,Marine Parade,1933
180,BROOKE ROAD,Marine Parade,1133
181,BUKIT TIMAH ROAD,Marine Parade,4732
182,CAVAN ROAD,Marine Parade,1615
183,CECIL STREET,Marine Parade,2072
184,CENTRAL BOULEVARD,Marine Parade,2022
185,CHANGI BUSINESS PARK CENTRAL 1,Marine Parade,2743
186,CHANGI ROAD,Marine Parade,2704
187,CHIN SWEE ROAD,Marine Parade,2448
188,CHOA CHU KANG AVENUE 4,Marine Parade,4382
189,CHOA CHU KANG NORTH 6,Marine Parade,4377
190,CLAYMORE DRIVE,Marine Parade,2798
191,CLEMENCEAU AVENUE,Marine Parade,2168
192,CLEMENTI AVENUE 3,Marine Parade,3438
193,COLEMAN STREET,Marine Parade,1940
194,COLLYER QUAY,Marine Parade,2033
195,COMMONWEALTH AVENUE WEST,Marine Parade,3307
196,COMPASSVALE BOW,Marine Parade,2624
197,CROSS STREET,Marine Parade,1903
198,CUSCADEN ROAD,Marine Parade,2590
199,EAST COAST ROAD,Marine Parade,1391
200,EASTWOOD ROAD,Marine Parade,2180
201,ENG HOON STREET,Marine Parade,2642
202,ENGGOR STREET,Marine Parade,2277
203,EU TONG SEN STREET,Marine Parade,2266
204,FOCH ROAD,Marine Parade,1716
205,GEYLANG ROAD,Marine Parade,1074
206,GOLDHILL PLAZA,Marine Parade,2054
207,GOPENG STREET,Marine Parade,2242
208,GUILLEMARD ROAD,Marine Parade,1157
209,HANDY ROAD,Marine Parade,1790
210,HAVELOCK ROAD,Marine Parade,2798
211,HIGH STREET,Marine Parade,1998
212,HOLLAND AVENUE,Marine Parade,3216
213,HOUGANG AVENUE 10,Marine Parade,3380
214,HOUGANG STREET 51,Marine Parade,3333
215,HOUGANG STREET 91,Marine Parade,3366
216,IRRAWADDY ROAD,Marine Parade,2274
217,JALAN ANAK BUKIT,Marine Parade,3042
218,JALAN BESAR,Marine Parade,1833
219,JALAN JURONG KECHIL,Marine Parade,2958
220,JALAN LEGUNDI,Marine Parade,4782
221,JALAN MASJID,Marine Parade,1681
222,JALAN SULTAN,Marine Parade,1601
223,JELEBU ROAD,Marine Parade,3642
224,JOO CHIAT ROAD,Marine Parade,2196
225,JOO KOON CIRCLE,Marine Parade,5154
226,JURONG EAST STREET 21,Marine Parade,3951
227,JURONG GATEWAY ROAD,Marine Parade,3671
228,JURONG WEST CENTRAL 2,Marine Parade,4091
229,JURONG WEST CENTRAL 3,Marine Parade,4197
230,KALLANG AVENUE,Marine Parade,1652
231,KELANTAN LANE,Marine Parade,2150
232,KEPPEL ROAD,Marine Parade,2335
233,KITCHENER ROAD,Marine Parade,1810
234,KOEK ROAD,Marine Parade,2335
235,LAVENDER STREET,Marine Parade,1675
236,LORONG 22 GEYLANG,Marine Parade,1363
237,LORONG 4 TOA PAYOH,Marine Parade,3077
238,LORONG KILAT,Marine Parade,3048
239,LORONG LIPUT,Marine Parade,3240
240,MACPHERSON ROAD,Marine Parade,2205
241,MAJU AVENUE,Marine Parade,2826
242,MARINA BOULEVARD,Marine Parade,1939
243,MARINA VIEW,Marine Parade,1936
244,MARINE PARADE ROAD,Marine Parade,956
245,MARITIME SQUARE,Marine Parade,3041
246,MARKET STREET,Marine Parade,2230
247,MARNE ROAD,Marine Parade,2124
248,MERCHANT ROAD,Marine Parade,2462
249,MIDDLE ROAD,Marine Parade,1874
250,MOHAMED SULTAN ROAD,Marine Parade,2686
251,MOUNTBATTEN ROAD,Marine Parade,1632
252,NEW BRIDGE ROAD,Marine Parade,2154
253,NEW UPPER CHANGI ROAD,Marine Parade,2245
254,NORTH BRIDGE ROAD,Marine Parade,1814
255,NORTH BUONA VISTA DRIVE,Marine Parade,3227
256,NORTHPOINT DRIVE,Marine Parade,3701
257,OCEAN WAY,Marine Parade,5718
258,ORCHARD ROAD,Marine Parade,2440
259,ORCHARD TURN,Marine Parade,2438
260,OUTRAM ROAD,Marine Parade,2128
261,PASIR PANJANG ROAD,Marine Parade,3834
262,PASIR RIS CENTRAL,Marine Parade,3571
263,PASIR RIS CLOSE,Marine Parade,3102
264,PAYA LEBAR ROAD,Marine Parade,1417
265,PENANG ROAD,Marine Parade,2022
266,PETIR ROAD,Marine Parade,4059
267,PUNGGOL CENTRAL,Marine Parade,4100
268,QUEENSWAY,Marine Parade,3410
269,RACE COURSE ROAD,Marine Parade,2152
270,RAFFLES AVENUE,Marine Parade,1963
271,RAFFLES BOULEVARD,Marine Parade,1700
272,RAFFLES LINK,Marine Parade,1531
273,RAFFLES PLACE,Marine Parade,1805
274,RAFFLES QUAY,Marine Parade,1853
275,RANGOON ROAD,Marine Parade,2468
276,RIVER VALLEY ROAD,Marine Parade,2532
277,RIVERVALE CRESCENT,Marine Parade,3880
278,ROBERTSON QUAY,Marine Parade,3185
279,ROBINSON ROAD,Marine Parade,2008
280,ROCHOR CANAL ROAD,Marine Parade,1434
281,ROCHOR ROAD,Marine Parade,1362
282,SAM LEONG ROAD,Marine Parade,1962
283,SCOTTS ROAD,Marine Parade,2462
284,SELEGIE ROAD,Marine Parade,1827
285,SEMBAWANG DRIVE,Marine Parade,4952
286,SEMBAWANG ROAD,Marine Parade,4477
287,SENGKANG SQUARE,Marine Parade,2819
288,SENGKANG WEST AVENUE,Marine Parade,3732
289,SERANGOON CENTRAL,Marine Parade,2177
290,SERANGOON ROAD,Marine Parade,2526
291,SHENTON WAY,Marine Parade,2087
292,SIMS AVENUE,Marine Parade,1341
293,SIMS DRIVE,Marine Parade,1563
294,SIN MING ROAD,Marine Parade,2915
295,SINARAN DRIVE,Marine Parade,2560
296,SOMERSET ROAD,Marine Parade,2182
297,SOUTH BRIDGE ROAD,Marine Parade,2141
298,SOUTH BUONA VISTA ROAD,Marine Parade,3955
299,STADIUM WALK,Marine Parade,3026
300,STAMFORD ROAD,Marine Parade,1855
301,TAI SENG STREET,Marine Parade,1677
302,TAI THONG CRESCENT,Marine Parade,2294
303,TAMPINES CENTRAL 1,Marine Parade,2625
304,TAMPINES CENTRAL 5,Marine Parade,2336
305,TAMPINES STREET 32,Marine Parade,3149
306,TAN QUEE LAN STREET,Marine Parade,1480
307,TANGLIN ROAD,Marine Parade,2801
308,TANJONG KATONG ROAD,Marine Parade,1351
309,TELOK AYER STREET,Marine Parade,2289
310,TELOK KURAU ROAD,Marine Parade,2385
311,TEMASEK BOULEVARD,Marine Parade,1411
312,TESSENSOHN ROAD,Marine Parade,2260
313,THOMSON ROAD,Marine Parade,2172
314,TIONG BAHRU ROAD,Marine Parade,2515
315,TRAS STREET,Marine Parade,2354
316,UNITY STREET,Marine Parade,2461
317,UPPER BUKIT TIMAH ROAD,Marine Parade,3528
318,UPPER CIRCULAR ROAD,Marine Parade,2031
