,Street_name,Planning_area,Time_taken
106,RAFFLES PLACE,Bukit Panjang,2545
107,RAFFLES QUAY,Bukit Panjang,2670
108,RANGOON ROAD,Bukit Panjang,2744
109,RIVER VALLEY ROAD,Bukit Panjang,3255
110,RIVERVALE CRESCENT,Bukit Panjang,4006
111,ROBERTSON QUAY,Bukit Panjang,3678
112,ROBINSON ROAD,Bukit Panjang,2835
113,ROCHOR CANAL ROAD,Bukit Panjang,2337
114,ROCHOR ROAD,Bukit Panjang,2373
115,SAM LEONG ROAD,Bukit Panjang,3326
116,SCOTTS ROAD,Bukit Panjang,2300
117,SELEGIE ROAD,Bukit Panjang,3301
118,SEMBAWANG DRIVE,Bukit Panjang,4489
119,SEMBAWANG ROAD,Bukit Panjang,3110
120,SENGKANG SQUARE,Bukit Panjang,3741
121,SENGKANG WEST AVENUE,Bukit Panjang,4053
122,SERANGOON CENTRAL,Bukit Panjang,3229
123,SERANGOON ROAD,Bukit Panjang,2672
124,SHENTON WAY,Bukit Panjang,2857
125,SIMS AVENUE,Bukit Panjang,2969
126,SIMS DRIVE,Bukit Panjang,3526
127,SIN MING ROAD,Bukit Panjang,2965
128,SINARAN DRIVE,Bukit Panjang,2315
129,SOMERSET ROAD,Bukit Panjang,2342
130,SOUTH BRIDGE ROAD,Bukit Panjang,2809
131,SOUTH BUONA VISTA ROAD,Bukit Panjang,3227
132,STADIUM WALK,Bukit Panjang,2842
133,STAMFORD ROAD,Bukit Panjang,2921
134,TAI SENG STREET,Bukit Panjang,3391
135,TAI THONG CRESCENT,Bukit Panjang,2726
136,TAMPINES CENTRAL 1,Bukit Panjang,4530
137,TAMPINES CENTRAL 5,Bukit Panjang,3987
138,TAMPINES STREET 32,Bukit Panjang,4842
139,TAN QUEE LAN STREET,Bukit Panjang,2286
140,TANGLIN ROAD,Bukit Panjang,2942
141,TANJONG KATONG ROAD,Bukit Panjang,3388
142,TELOK AYER STREET,Bukit Panjang,2851
143,TELOK KURAU ROAD,Bukit Panjang,3868
144,TEMASEK BOULEVARD,Bukit Panjang,2555
145,TESSENSOHN ROAD,Bukit Panjang,2777
146,THOMSON ROAD,Bukit Panjang,2600
147,TIONG BAHRU ROAD,Bukit Panjang,3242
148,TRAS STREET,Bukit Panjang,3272
149,UNITY STREET,Bukit Panjang,3012
150,UPPER BUKIT TIMAH ROAD,Bukit Panjang,959
151,UPPER CIRCULAR ROAD,Bukit Panjang,3023
152,UPPER CROSS STREET,Bukit Panjang,2823
153,UPPER SERANGOON ROAD,Bukit Panjang,3425
154,UPPER THOMSON ROAD,Bukit Panjang,2869
155,VICTORIA STREET,Bukit Panjang,2220
156,WEST COAST DRIVE,Bukit Panjang,2588
157,WEST COAST ROAD,Bukit Panjang,3161
158,WILKIE ROAD,Bukit Panjang,3140
159,WOODLANDS AVENUE 1,Bukit Panjang,2966
